y_test,utente_dichiara,rf_predictions
4,4,"[0.002, 0.009, 0.04, 0.0, 0.449, 0.003, 0.001, 0.001, 0.0, 0.004, 0.003, 0.0, 0.003, 0.006, 0.0, 0.006, 0.004, 0.004, 0.0, 0.0, 0.06, 0.005, 0.04, 0.011, 0.003, 0.011, 0.008, 0.0, 0.008, 0.001, 0.028, 0.003, 0.036, 0.007, 0.007, 0.001, 0.0, 0.0, 0.0, 0.001, 0.005, 0.001, 0.001, 0.013, 0.001, 0.009, 0.001, 0.0, 0.003, 0.001, 0.0, 0.0, 0.105, 0.007, 0.076, 0.008, 0.004, 0.0, 0.0, 0.0]"
44,32,"[0.004, 0.004, 0.0, 0.004, 0.002, 0.003, 0.0, 0.0, 0.008, 0.003, 0.001, 0.004, 0.054, 0.008, 0.008, 0.001, 0.007, 0.006, 0.001, 0.003, 0.02, 0.032, 0.004, 0.011, 0.025, 0.023, 0.01, 0.0, 0.027, 0.008, 0.006, 0.05, 0.029, 0.01, 0.095, 0.009, 0.006, 0.017, 0.007, 0.003, 0.026, 0.003, 0.012, 0.022, 0.108, 0.007, 0.01, 0.207, 0.003, 0.002, 0.001, 0.009, 0.003, 0.021, 0.012, 0.01, 0.005, 0.01, 0.0, 0.016]"
46,0,"[0.002, 0.004, 0.017, 0.009, 0.0, 0.003, 0.014, 0.006, 0.0, 0.004, 0.003, 0.002, 0.014, 0.0, 0.012, 0.003, 0.003, 0.006, 0.002, 0.006, 0.01, 0.007, 0.004, 0.004, 0.025, 0.041, 0.004, 0.0, 0.006, 0.015, 0.009, 0.003, 0.015, 0.006, 0.012, 0.037, 0.001, 0.007, 0.004, 0.006, 0.004, 0.006, 0.062, 0.003, 0.003, 0.015, 0.339, 0.017, 0.007, 0.005, 0.015, 0.044, 0.007, 0.033, 0.001, 0.03, 0.001, 0.009, 0.006, 0.067]"
50,50,"[0.001, 0.004, 0.0, 0.009, 0.009, 0.031, 0.006, 0.008, 0.001, 0.0, 0.001, 0.005, 0.003, 0.001, 0.001, 0.002, 0.004, 0.001, 0.008, 0.011, 0.003, 0.019, 0.009, 0.001, 0.013, 0.002, 0.011, 0.001, 0.006, 0.001, 0.028, 0.004, 0.02, 0.037, 0.011, 0.01, 0.012, 0.007, 0.021, 0.025, 0.018, 0.019, 0.0, 0.001, 0.001, 0.004, 0.001, 0.013, 0.012, 0.008, 0.541, 0.006, 0.001, 0.0, 0.012, 0.0, 0.002, 0.002, 0.011, 0.001]"
5,5,"[0.0, 0.002, 0.0, 0.0, 0.0, 0.928, 0.004, 0.0, 0.001, 0.0, 0.0, 0.002, 0.0, 0.001, 0.0, 0.001, 0.0, 0.0, 0.017, 0.002, 0.001, 0.003, 0.0, 0.002, 0.001, 0.001, 0.002, 0.0, 0.0, 0.0, 0.002, 0.0, 0.001, 0.001, 0.002, 0.001, 0.009, 0.0, 0.002, 0.001, 0.001, 0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.002, 0.0, 0.002, 0.003, 0.001, 0.0, 0.0, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0]"
17,17,"[0.001, 0.007, 0.058, 0.003, 0.007, 0.003, 0.0, 0.001, 0.002, 0.039, 0.004, 0.005, 0.012, 0.022, 0.006, 0.004, 0.037, 0.04, 0.003, 0.012, 0.016, 0.007, 0.054, 0.066, 0.02, 0.003, 0.003, 0.0, 0.02, 0.009, 0.006, 0.012, 0.003, 0.018, 0.018, 0.006, 0.004, 0.008, 0.001, 0.0, 0.019, 0.038, 0.03, 0.006, 0.009, 0.014, 0.018, 0.005, 0.015, 0.03, 0.001, 0.008, 0.037, 0.013, 0.028, 0.064, 0.116, 0.0, 0.0, 0.009]"
10,10,"[0.003, 0.0, 0.017, 0.001, 0.0, 0.0, 0.001, 0.001, 0.002, 0.0, 0.834, 0.0, 0.014, 0.0, 0.033, 0.0, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.003, 0.002, 0.0, 0.0, 0.014, 0.0, 0.0, 0.001, 0.003, 0.0, 0.0, 0.001, 0.01, 0.0, 0.002, 0.001, 0.001, 0.003, 0.0, 0.022, 0.004, 0.001, 0.003, 0.003, 0.0, 0.0, 0.0, 0.002, 0.009, 0.0, 0.001, 0.0, 0.0, 0.0, 0.005]"
15,4,"[0.007, 0.025, 0.004, 0.002, 0.007, 0.001, 0.002, 0.004, 0.0, 0.001, 0.0, 0.001, 0.0, 0.032, 0.009, 0.564, 0.003, 0.013, 0.007, 0.059, 0.005, 0.0, 0.033, 0.007, 0.0, 0.001, 0.002, 0.002, 0.004, 0.002, 0.008, 0.038, 0.002, 0.0, 0.001, 0.0, 0.006, 0.0, 0.007, 0.0, 0.001, 0.009, 0.003, 0.002, 0.0, 0.014, 0.001, 0.0, 0.034, 0.022, 0.0, 0.003, 0.023, 0.003, 0.004, 0.001, 0.019, 0.002, 0.0, 0.0]"
22,12,"[0.006, 0.003, 0.006, 0.0, 0.042, 0.003, 0.01, 0.009, 0.0, 0.011, 0.005, 0.003, 0.014, 0.026, 0.022, 0.013, 0.065, 0.005, 0.001, 0.01, 0.015, 0.005, 0.242, 0.01, 0.005, 0.004, 0.017, 0.0, 0.012, 0.016, 0.07, 0.006, 0.03, 0.008, 0.014, 0.01, 0.016, 0.001, 0.002, 0.008, 0.008, 0.016, 0.0, 0.015, 0.006, 0.045, 0.01, 0.003, 0.036, 0.084, 0.005, 0.002, 0.006, 0.004, 0.008, 0.001, 0.002, 0.001, 0.003, 0.0]"
38,18,"[0.068, 0.007, 0.002, 0.008, 0.0, 0.002, 0.014, 0.002, 0.001, 0.0, 0.012, 0.008, 0.012, 0.008, 0.052, 0.009, 0.002, 0.001, 0.077, 0.016, 0.002, 0.001, 0.0, 0.005, 0.013, 0.0, 0.004, 0.004, 0.003, 0.005, 0.007, 0.004, 0.001, 0.009, 0.005, 0.003, 0.031, 0.014, 0.449, 0.071, 0.001, 0.026, 0.001, 0.0, 0.007, 0.001, 0.002, 0.002, 0.003, 0.001, 0.011, 0.006, 0.003, 0.001, 0.0, 0.001, 0.001, 0.0, 0.001, 0.0]"
