y_test,utente_dichiara,rf_predictions
4,4,"[0.002, 0.009, 0.04, 0.0, 0.452, 0.003, 0.001, 0.001, 0.0, 0.004, 0.003, 0.0, 0.003, 0.006, 0.0, 0.006, 0.003, 0.004, 0.0, 0.0, 0.059, 0.005, 0.04, 0.01, 0.003, 0.011, 0.008, 0.0, 0.008, 0.001, 0.026, 0.003, 0.039, 0.007, 0.008, 0.001, 0.0, 0.0, 0.0, 0.001, 0.004, 0.001, 0.001, 0.012, 0.001, 0.009, 0.001, 0.0, 0.006, 0.001, 0.0, 0.0, 0.107, 0.005, 0.073, 0.008, 0.004, 0.0, 0.0, 0.0]"
44,32,"[0.003, 0.004, 0.0, 0.004, 0.002, 0.003, 0.0, 0.0, 0.008, 0.003, 0.001, 0.004, 0.053, 0.008, 0.008, 0.001, 0.007, 0.006, 0.001, 0.003, 0.02, 0.034, 0.004, 0.011, 0.023, 0.023, 0.01, 0.0, 0.027, 0.008, 0.006, 0.05, 0.028, 0.011, 0.098, 0.009, 0.007, 0.017, 0.007, 0.003, 0.026, 0.003, 0.012, 0.023, 0.107, 0.007, 0.01, 0.206, 0.003, 0.003, 0.001, 0.009, 0.003, 0.023, 0.011, 0.01, 0.005, 0.008, 0.0, 0.015]"
46,0,"[0.002, 0.004, 0.016, 0.008, 0.0, 0.003, 0.016, 0.006, 0.0, 0.004, 0.004, 0.002, 0.013, 0.0, 0.012, 0.003, 0.001, 0.006, 0.002, 0.007, 0.009, 0.005, 0.002, 0.003, 0.024, 0.045, 0.004, 0.0, 0.006, 0.016, 0.008, 0.002, 0.017, 0.006, 0.012, 0.035, 0.001, 0.007, 0.004, 0.006, 0.004, 0.005, 0.062, 0.002, 0.003, 0.011, 0.348, 0.02, 0.007, 0.004, 0.015, 0.047, 0.007, 0.035, 0.001, 0.029, 0.001, 0.01, 0.006, 0.062]"
50,50,"[0.001, 0.003, 0.0, 0.009, 0.009, 0.024, 0.006, 0.009, 0.001, 0.0, 0.001, 0.005, 0.003, 0.003, 0.001, 0.002, 0.004, 0.001, 0.008, 0.011, 0.003, 0.018, 0.009, 0.001, 0.012, 0.001, 0.01, 0.0, 0.006, 0.001, 0.03, 0.005, 0.02, 0.039, 0.01, 0.01, 0.012, 0.006, 0.02, 0.024, 0.019, 0.02, 0.0, 0.002, 0.001, 0.004, 0.001, 0.015, 0.013, 0.009, 0.538, 0.008, 0.002, 0.0, 0.013, 0.0, 0.002, 0.002, 0.012, 0.001]"
5,5,"[0.0, 0.002, 0.0, 0.0, 0.0, 0.92, 0.004, 0.0, 0.001, 0.0, 0.0, 0.003, 0.0, 0.001, 0.0, 0.001, 0.0, 0.0, 0.02, 0.002, 0.001, 0.003, 0.0, 0.004, 0.0, 0.001, 0.002, 0.001, 0.001, 0.0, 0.002, 0.0, 0.002, 0.0, 0.001, 0.001, 0.009, 0.001, 0.002, 0.001, 0.002, 0.001, 0.0, 0.0, 0.002, 0.0, 0.0, 0.002, 0.0, 0.002, 0.003, 0.0, 0.0, 0.0, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0]"
17,17,"[0.001, 0.007, 0.058, 0.004, 0.007, 0.003, 0.0, 0.001, 0.002, 0.039, 0.004, 0.005, 0.012, 0.022, 0.006, 0.004, 0.037, 0.039, 0.003, 0.013, 0.015, 0.007, 0.054, 0.065, 0.02, 0.003, 0.003, 0.0, 0.02, 0.009, 0.005, 0.012, 0.003, 0.018, 0.018, 0.005, 0.004, 0.008, 0.001, 0.0, 0.019, 0.038, 0.03, 0.006, 0.009, 0.015, 0.018, 0.005, 0.016, 0.03, 0.001, 0.007, 0.036, 0.013, 0.028, 0.065, 0.118, 0.0, 0.0, 0.009]"
10,10,"[0.003, 0.0, 0.017, 0.001, 0.0, 0.0, 0.001, 0.001, 0.002, 0.0, 0.825, 0.0, 0.017, 0.0, 0.034, 0.0, 0.002, 0.0, 0.0, 0.001, 0.001, 0.0, 0.0, 0.001, 0.0, 0.003, 0.002, 0.0, 0.0, 0.013, 0.0, 0.0, 0.001, 0.003, 0.001, 0.0, 0.001, 0.009, 0.0, 0.002, 0.001, 0.002, 0.003, 0.0, 0.023, 0.005, 0.001, 0.004, 0.002, 0.0, 0.0, 0.0, 0.002, 0.009, 0.0, 0.001, 0.0, 0.0, 0.0, 0.006]"
15,4,"[0.007, 0.025, 0.004, 0.002, 0.007, 0.001, 0.002, 0.004, 0.0, 0.001, 0.0, 0.001, 0.0, 0.03, 0.009, 0.569, 0.003, 0.014, 0.007, 0.059, 0.005, 0.0, 0.034, 0.007, 0.0, 0.001, 0.002, 0.002, 0.004, 0.002, 0.008, 0.036, 0.002, 0.0, 0.001, 0.0, 0.006, 0.0, 0.007, 0.0, 0.001, 0.009, 0.003, 0.002, 0.0, 0.014, 0.001, 0.0, 0.033, 0.022, 0.0, 0.003, 0.023, 0.003, 0.004, 0.001, 0.017, 0.002, 0.0, 0.0]"
22,12,"[0.006, 0.001, 0.005, 0.0, 0.043, 0.003, 0.01, 0.008, 0.0, 0.012, 0.003, 0.002, 0.015, 0.029, 0.02, 0.014, 0.075, 0.004, 0.001, 0.013, 0.02, 0.004, 0.228, 0.008, 0.003, 0.006, 0.017, 0.0, 0.012, 0.018, 0.072, 0.006, 0.033, 0.008, 0.017, 0.009, 0.017, 0.001, 0.002, 0.009, 0.007, 0.015, 0.0, 0.017, 0.005, 0.04, 0.01, 0.002, 0.036, 0.082, 0.004, 0.001, 0.007, 0.003, 0.008, 0.001, 0.002, 0.002, 0.004, 0.0]"
38,18,"[0.074, 0.007, 0.002, 0.01, 0.0, 0.002, 0.017, 0.002, 0.001, 0.0, 0.014, 0.009, 0.016, 0.005, 0.054, 0.009, 0.002, 0.001, 0.073, 0.019, 0.001, 0.001, 0.0, 0.004, 0.011, 0.0, 0.003, 0.005, 0.003, 0.005, 0.009, 0.006, 0.002, 0.01, 0.006, 0.003, 0.031, 0.014, 0.426, 0.073, 0.002, 0.024, 0.001, 0.0, 0.007, 0.001, 0.002, 0.002, 0.004, 0.001, 0.011, 0.007, 0.003, 0.001, 0.001, 0.001, 0.001, 0.0, 0.001, 0.0]"
