threshold,CDIR,FAR,FRR
0.01,0.915,1.0,0.08499999999999996
0.02,0.915,1.0,0.08499999999999996
0.03,0.915,1.0,0.08499999999999996
0.04,0.915,1.0,0.08499999999999996
0.05,0.915,1.0,0.08499999999999996
0.06,0.915,1.0,0.08499999999999996
0.07,0.915,1.0,0.08499999999999996
0.08,0.915,1.0,0.08499999999999996
0.09,0.914,1.0,0.08599999999999997
0.1,0.912,1.0,0.08799999999999997
0.11,0.9081666666666667,1.0,0.09183333333333332
0.12,0.9033333333333333,1.0,0.09666666666666668
0.13,0.8983333333333333,1.0,0.10166666666666668
0.14,0.893,1.0,0.10699999999999998
0.15,0.885,1.0,0.11499999999999999
0.16,0.8765,1.0,0.12350000000000005
0.17,0.8656666666666667,1.0,0.1343333333333333
0.18,0.8563333333333333,1.0,0.14366666666666672
0.19,0.845,1.0,0.15500000000000003
0.2,0.834,1.0,0.16600000000000004
0.21,0.8218333333333333,1.0,0.1781666666666667
0.22,0.8078333333333333,1.0,0.1921666666666667
0.23,0.7951666666666667,1.0,0.2048333333333333
0.24,0.7828333333333334,1.0,0.21716666666666662
0.25,0.766,1.0,0.23399999999999999
0.26,0.7521666666666667,1.0,0.24783333333333335
0.27,0.7343333333333333,1.0,0.2656666666666667
0.28,0.7163333333333334,0.14,0.2836666666666666
0.29,0.699,0.01,0.30100000000000005
0.3,0.6833333333333333,0.0,0.31666666666666665
0.31,0.6698333333333333,0.0,0.3301666666666667
0.32,0.6551666666666667,0.0,0.3448333333333333
0.33,0.6413333333333333,0.0,0.3586666666666667
0.34,0.6246666666666667,0.0,0.3753333333333333
0.35,0.6043333333333333,0.0,0.3956666666666667
0.36,0.5868333333333333,0.0,0.4131666666666667
0.37,0.571,0.0,0.42900000000000005
0.38,0.552,0.0,0.44799999999999995
0.39,0.5371666666666667,0.0,0.4628333333333333
0.4,0.5205,0.0,0.47950000000000004
0.41,0.5005,0.0,0.49950000000000006
0.42,0.485,0.0,0.515
0.43,0.4665,0.0,0.5335
0.44,0.44916666666666666,0.0,0.5508333333333333
0.45,0.43483333333333335,0.0,0.5651666666666666
0.46,0.4181666666666667,0.0,0.5818333333333333
0.47,0.4026666666666667,0.0,0.5973333333333333
0.48,0.38466666666666666,0.0,0.6153333333333333
0.49,0.3715,0.0,0.6285000000000001
0.5,0.3541666666666667,0.0,0.6458333333333333
0.51,0.3378333333333333,0.0,0.6621666666666667
0.52,0.32283333333333336,0.0,0.6771666666666667
0.53,0.30933333333333335,0.0,0.6906666666666667
0.54,0.295,0.0,0.7050000000000001
0.55,0.2823333333333333,0.0,0.7176666666666667
0.56,0.266,0.0,0.734
0.57,0.2535,0.0,0.7464999999999999
0.58,0.24016666666666667,0.0,0.7598333333333334
0.59,0.22616666666666665,0.0,0.7738333333333334
0.6,0.21333333333333335,0.0,0.7866666666666666
0.61,0.20433333333333334,0.0,0.7956666666666666
0.62,0.19183333333333333,0.0,0.8081666666666667
0.63,0.18166666666666667,0.0,0.8183333333333334
0.64,0.17116666666666666,0.0,0.8288333333333333
0.65,0.163,0.0,0.837
0.66,0.15533333333333332,0.0,0.8446666666666667
0.67,0.14716666666666667,0.0,0.8528333333333333
0.68,0.1355,0.0,0.8645
0.69,0.127,0.0,0.873
0.7,0.11833333333333333,0.0,0.8816666666666667
0.71,0.10883333333333334,0.0,0.8911666666666667
0.72,0.10033333333333333,0.0,0.8996666666666666
0.73,0.09333333333333334,0.0,0.9066666666666666
0.74,0.08633333333333333,0.0,0.9136666666666666
0.75,0.08016666666666666,0.0,0.9198333333333333
0.76,0.07466666666666667,0.0,0.9253333333333333
0.77,0.06833333333333333,0.0,0.9316666666666666
0.78,0.06283333333333334,0.0,0.9371666666666667
0.79,0.057833333333333334,0.0,0.9421666666666667
0.8,0.05333333333333334,0.0,0.9466666666666667
