threshold,far,frr,acc,tpr,tnr,ppv,npv,f1_score
0.01,0.4202109561075196,0.0013067624959163672,0.7935,0.9986932375040837,0.5797890438924804,0.7122553588070829,0.9976580796252927,0.8314973480212158
0.02,0.21605988431439266,0.0029402156158118264,0.8926666666666667,0.9970597843841882,0.7839401156856074,0.8277732573908326,0.9961089494163424,0.9045643153526971
0.03,0.12249064307587615,0.006533812479581836,0.9366666666666666,0.9934661875204182,0.8775093569241239,0.8941487797706557,0.9923047325894575,0.9411946765707211
0.04,0.06873086083701939,0.009474028095393662,0.9615,0.9905259719046063,0.9312691391629806,0.9375386518243661,0.9895155459146783,0.9633042096902303
0.05,0.04491323579448792,0.01470107807905913,0.9705,0.9852989219209408,0.9550867642055121,0.9580686149936467,0.9842215988779803,0.9714929940409083
0.06,0.029261653623681525,0.020581509310682783,0.9751666666666666,0.9794184906893172,0.9707383463763185,0.9721141374837873,0.9783950617283951,0.9757526444263629
0.07,0.018033344675059543,0.02744201241424371,0.9771666666666666,0.9725579875857563,0.9819666553249404,0.9825082508250825,0.9717171717171718,0.9775077983910688
0.08,0.012249064307587616,0.03397582489382555,0.9766666666666667,0.9660241751061744,0.9877509356924123,0.9879719345138657,0.9654140339208513,0.9768747935249421
0.09,0.00952705001701259,0.040182946749428294,0.9748333333333333,0.9598170532505718,0.9904729499829874,0.9905596763317599,0.9594594594594594,0.9749460759913721
0.1,0.006464783940115686,0.04802352172492649,0.9723333333333334,0.9519764782750735,0.9935352160598843,0.9935219911353563,0.9520704271274861,0.9723056389723057
0.11,0.004763525008506295,0.05455733420450833,0.9698333333333333,0.9454426657954916,0.9952364749914937,0.9951856946354883,0.9459896507115135,0.9696766627575808
0.12,0.003062266076896904,0.06435805292388108,0.9656666666666667,0.9356419470761189,0.9969377339231031,0.9968673860076575,0.9370003197953309,0.9652847994607348
0.13,0.0023817625042531474,0.07481215289121203,0.9606666666666667,0.925187847108788,0.9976182374957469,0.9975343430785488,0.9275545713381841,0.96
