y_test,utente_dichiara,rf_predictions
4,4,"[0.002, 0.009, 0.038, 0.0, 0.454, 0.003, 0.001, 0.001, 0.0, 0.004, 0.003, 0.0, 0.003, 0.005, 0.0, 0.007, 0.004, 0.004, 0.0, 0.0, 0.057, 0.005, 0.041, 0.009, 0.003, 0.011, 0.008, 0.0, 0.005, 0.002, 0.027, 0.003, 0.037, 0.007, 0.009, 0.001, 0.0, 0.0, 0.0, 0.001, 0.005, 0.001, 0.001, 0.011, 0.001, 0.009, 0.001, 0.0, 0.005, 0.001, 0.0, 0.0, 0.103, 0.006, 0.078, 0.009, 0.005, 0.0, 0.0, 0.0]"
44,32,"[0.003, 0.004, 0.0, 0.003, 0.002, 0.003, 0.0, 0.0, 0.008, 0.003, 0.001, 0.004, 0.053, 0.008, 0.008, 0.001, 0.007, 0.006, 0.001, 0.003, 0.02, 0.033, 0.004, 0.011, 0.024, 0.024, 0.01, 0.0, 0.026, 0.008, 0.006, 0.051, 0.027, 0.011, 0.102, 0.009, 0.007, 0.017, 0.007, 0.003, 0.026, 0.003, 0.012, 0.023, 0.106, 0.007, 0.01, 0.205, 0.003, 0.002, 0.001, 0.009, 0.003, 0.023, 0.011, 0.01, 0.005, 0.008, 0.0, 0.015]"
46,0,"[0.002, 0.004, 0.017, 0.009, 0.0, 0.003, 0.015, 0.006, 0.0, 0.005, 0.003, 0.002, 0.013, 0.0, 0.013, 0.003, 0.002, 0.006, 0.002, 0.007, 0.009, 0.005, 0.003, 0.003, 0.024, 0.04, 0.004, 0.0, 0.006, 0.014, 0.01, 0.003, 0.017, 0.006, 0.012, 0.035, 0.001, 0.007, 0.004, 0.006, 0.004, 0.006, 0.065, 0.003, 0.003, 0.013, 0.35, 0.016, 0.007, 0.003, 0.015, 0.044, 0.007, 0.032, 0.001, 0.029, 0.001, 0.011, 0.006, 0.063]"
50,50,"[0.001, 0.003, 0.0, 0.01, 0.009, 0.028, 0.006, 0.009, 0.001, 0.0, 0.001, 0.005, 0.003, 0.003, 0.001, 0.002, 0.004, 0.001, 0.008, 0.011, 0.003, 0.019, 0.009, 0.001, 0.012, 0.002, 0.009, 0.001, 0.006, 0.001, 0.029, 0.004, 0.021, 0.039, 0.01, 0.01, 0.012, 0.007, 0.021, 0.024, 0.019, 0.019, 0.0, 0.001, 0.001, 0.004, 0.001, 0.014, 0.012, 0.009, 0.538, 0.006, 0.001, 0.0, 0.012, 0.0, 0.002, 0.002, 0.012, 0.001]"
5,5,"[0.0, 0.002, 0.0, 0.0, 0.0, 0.93, 0.004, 0.0, 0.001, 0.0, 0.0, 0.003, 0.0, 0.001, 0.0, 0.001, 0.0, 0.0, 0.017, 0.002, 0.001, 0.002, 0.0, 0.002, 0.001, 0.001, 0.002, 0.0, 0.0, 0.0, 0.001, 0.0, 0.001, 0.001, 0.002, 0.001, 0.009, 0.0, 0.002, 0.001, 0.001, 0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.002, 0.0, 0.002, 0.003, 0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
17,17,"[0.001, 0.008, 0.058, 0.003, 0.007, 0.003, 0.0, 0.001, 0.002, 0.04, 0.004, 0.005, 0.012, 0.022, 0.006, 0.004, 0.035, 0.042, 0.003, 0.013, 0.014, 0.007, 0.052, 0.067, 0.021, 0.003, 0.004, 0.0, 0.02, 0.009, 0.004, 0.012, 0.003, 0.019, 0.018, 0.007, 0.004, 0.008, 0.001, 0.0, 0.019, 0.038, 0.03, 0.005, 0.009, 0.014, 0.018, 0.005, 0.015, 0.03, 0.0, 0.008, 0.035, 0.013, 0.029, 0.063, 0.118, 0.0, 0.0, 0.009]"
10,10,"[0.003, 0.0, 0.017, 0.001, 0.0, 0.0, 0.001, 0.001, 0.002, 0.0, 0.834, 0.0, 0.016, 0.0, 0.033, 0.0, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.002, 0.0, 0.0, 0.014, 0.0, 0.0, 0.001, 0.003, 0.0, 0.0, 0.001, 0.01, 0.0, 0.002, 0.001, 0.001, 0.003, 0.0, 0.022, 0.004, 0.001, 0.003, 0.002, 0.0, 0.0, 0.0, 0.002, 0.009, 0.0, 0.001, 0.0, 0.0, 0.0, 0.005]"
15,4,"[0.007, 0.024, 0.004, 0.002, 0.007, 0.001, 0.002, 0.004, 0.0, 0.001, 0.0, 0.001, 0.0, 0.031, 0.009, 0.569, 0.003, 0.013, 0.007, 0.058, 0.005, 0.0, 0.033, 0.007, 0.0, 0.001, 0.002, 0.002, 0.004, 0.002, 0.008, 0.036, 0.002, 0.0, 0.001, 0.0, 0.006, 0.0, 0.007, 0.0, 0.001, 0.009, 0.003, 0.002, 0.0, 0.014, 0.001, 0.0, 0.034, 0.023, 0.0, 0.003, 0.023, 0.003, 0.004, 0.001, 0.018, 0.002, 0.0, 0.0]"
22,12,"[0.006, 0.003, 0.005, 0.0, 0.045, 0.004, 0.011, 0.009, 0.0, 0.013, 0.005, 0.002, 0.013, 0.026, 0.02, 0.013, 0.064, 0.006, 0.001, 0.012, 0.016, 0.004, 0.236, 0.01, 0.003, 0.004, 0.016, 0.0, 0.012, 0.016, 0.072, 0.006, 0.032, 0.008, 0.016, 0.009, 0.016, 0.001, 0.002, 0.009, 0.008, 0.017, 0.0, 0.015, 0.006, 0.045, 0.01, 0.003, 0.037, 0.082, 0.004, 0.001, 0.006, 0.004, 0.008, 0.001, 0.002, 0.002, 0.003, 0.0]"
38,18,"[0.073, 0.007, 0.002, 0.007, 0.0, 0.002, 0.016, 0.002, 0.001, 0.0, 0.015, 0.008, 0.013, 0.008, 0.053, 0.009, 0.002, 0.001, 0.075, 0.018, 0.001, 0.001, 0.0, 0.004, 0.012, 0.0, 0.005, 0.005, 0.003, 0.005, 0.007, 0.006, 0.002, 0.01, 0.005, 0.003, 0.031, 0.014, 0.436, 0.071, 0.002, 0.024, 0.001, 0.0, 0.007, 0.001, 0.002, 0.002, 0.004, 0.001, 0.011, 0.005, 0.003, 0.001, 0.0, 0.001, 0.001, 0.0, 0.001, 0.0]"
21,21,"[0.001, 0.002, 0.004, 0.005, 0.011, 0.001, 0.0, 0.017, 0.0, 0.005, 0.003, 0.002, 0.003, 0.006, 0.005, 0.004, 0.007, 0.001, 0.001, 0.002, 0.003, 0.361, 0.018, 0.014, 0.001, 0.092, 0.011, 0.0, 0.008, 0.013, 0.009, 0.002, 0.068, 0.001, 0.031, 0.005, 0.0, 0.013, 0.003, 0.011, 0.009, 0.007, 0.007, 0.002, 0.024, 0.033, 0.022, 0.01, 0.016, 0.061, 0.005, 0.003, 0.004, 0.005, 0.026, 0.007, 0.001, 0.003, 0.001, 0.01]"
44,11,"[0.011, 0.005, 0.0, 0.005, 0.004, 0.011, 0.004, 0.012, 0.008, 0.008, 0.076, 0.002, 0.005, 0.005, 0.002, 0.009, 0.026, 0.008, 0.008, 0.005, 0.004, 0.103, 0.008, 0.005, 0.025, 0.007, 0.014, 0.002, 0.091, 0.018, 0.023, 0.05, 0.012, 0.011, 0.01, 0.027, 0.015, 0.066, 0.022, 0.004, 0.017, 0.006, 0.002, 0.011, 0.167, 0.007, 0.0, 0.0, 0.005, 0.001, 0.001, 0.002, 0.021, 0.004, 0.007, 0.009, 0.002, 0.005, 0.002, 0.0]"
