y_test,utente_dichiara,rf_predictions
0,0,"[0.558, 0.022, 0.006, 0.022, 0.014, 0.026, 0.0, 0.002, 0.002, 0.0, 0.012, 0.006, 0.004, 0.002, 0.002, 0.014, 0.004, 0.004, 0.024, 0.008, 0.01, 0.0, 0.0, 0.02, 0.028, 0.0, 0.006, 0.0, 0.002, 0.004, 0.014, 0.002, 0.008, 0.014, 0.006, 0.008, 0.026, 0.006, 0.01, 0.016, 0.006, 0.004, 0.0, 0.0, 0.004, 0.0, 0.008, 0.002, 0.014, 0.004, 0.01, 0.002, 0.0, 0.0, 0.012, 0.002, 0.008, 0.0, 0.012, 0.0]"
0,32,"[0.324, 0.098, 0.036, 0.014, 0.026, 0.028, 0.004, 0.01, 0.002, 0.004, 0.006, 0.002, 0.006, 0.014, 0.01, 0.004, 0.004, 0.01, 0.014, 0.028, 0.04, 0.0, 0.0, 0.1, 0.002, 0.0, 0.022, 0.002, 0.0, 0.02, 0.01, 0.0, 0.01, 0.004, 0.002, 0.0, 0.024, 0.002, 0.006, 0.0, 0.028, 0.044, 0.0, 0.0, 0.002, 0.002, 0.002, 0.0, 0.012, 0.002, 0.002, 0.006, 0.004, 0.002, 0.0, 0.0, 0.006, 0.0, 0.0, 0.0]"
0,0,"[0.21, 0.028, 0.012, 0.026, 0.018, 0.006, 0.012, 0.008, 0.0, 0.006, 0.004, 0.0, 0.002, 0.038, 0.01, 0.01, 0.008, 0.162, 0.002, 0.016, 0.016, 0.008, 0.02, 0.024, 0.01, 0.018, 0.018, 0.0, 0.01, 0.014, 0.004, 0.002, 0.004, 0.008, 0.002, 0.004, 0.008, 0.002, 0.008, 0.002, 0.0, 0.004, 0.016, 0.008, 0.0, 0.042, 0.004, 0.0, 0.026, 0.012, 0.002, 0.01, 0.008, 0.022, 0.012, 0.008, 0.064, 0.0, 0.0, 0.002]"
0,50,"[0.716, 0.004, 0.014, 0.006, 0.012, 0.004, 0.0, 0.002, 0.002, 0.0, 0.004, 0.004, 0.006, 0.004, 0.012, 0.006, 0.004, 0.004, 0.004, 0.01, 0.014, 0.0, 0.004, 0.024, 0.004, 0.004, 0.004, 0.0, 0.0, 0.0, 0.004, 0.0, 0.002, 0.004, 0.002, 0.002, 0.024, 0.012, 0.002, 0.012, 0.0, 0.0, 0.0, 0.002, 0.004, 0.0, 0.002, 0.002, 0.02, 0.0, 0.006, 0.01, 0.004, 0.0, 0.004, 0.006, 0.002, 0.0, 0.002, 0.0]"
0,0,"[0.042, 0.026, 0.004, 0.004, 0.066, 0.006, 0.006, 0.034, 0.0, 0.018, 0.0, 0.0, 0.0, 0.012, 0.038, 0.008, 0.018, 0.012, 0.002, 0.002, 0.01, 0.012, 0.13, 0.022, 0.002, 0.024, 0.024, 0.0, 0.022, 0.042, 0.0, 0.022, 0.002, 0.0, 0.006, 0.0, 0.004, 0.0, 0.002, 0.0, 0.002, 0.004, 0.016, 0.018, 0.006, 0.042, 0.004, 0.0, 0.064, 0.044, 0.004, 0.058, 0.016, 0.02, 0.01, 0.016, 0.052, 0.002, 0.0, 0.0]"
0,0,"[0.312, 0.048, 0.006, 0.006, 0.004, 0.0, 0.0, 0.006, 0.002, 0.008, 0.002, 0.006, 0.016, 0.016, 0.034, 0.0, 0.018, 0.062, 0.004, 0.008, 0.048, 0.002, 0.026, 0.018, 0.004, 0.01, 0.004, 0.006, 0.016, 0.01, 0.002, 0.016, 0.002, 0.002, 0.0, 0.0, 0.03, 0.008, 0.004, 0.002, 0.006, 0.008, 0.004, 0.008, 0.002, 0.008, 0.008, 0.0, 0.066, 0.004, 0.0, 0.034, 0.014, 0.004, 0.012, 0.002, 0.044, 0.002, 0.0, 0.006]"
0,0,"[0.448, 0.008, 0.016, 0.048, 0.012, 0.002, 0.008, 0.01, 0.0, 0.022, 0.002, 0.002, 0.02, 0.002, 0.012, 0.002, 0.012, 0.008, 0.002, 0.016, 0.054, 0.004, 0.008, 0.026, 0.008, 0.01, 0.002, 0.0, 0.006, 0.006, 0.0, 0.01, 0.006, 0.002, 0.0, 0.002, 0.0, 0.002, 0.0, 0.002, 0.002, 0.002, 0.058, 0.02, 0.0, 0.008, 0.018, 0.004, 0.002, 0.002, 0.0, 0.002, 0.004, 0.034, 0.008, 0.008, 0.02, 0.004, 0.004, 0.0]"
0,4,"[0.45, 0.03, 0.03, 0.02, 0.012, 0.042, 0.006, 0.004, 0.0, 0.0, 0.054, 0.002, 0.042, 0.004, 0.004, 0.014, 0.002, 0.004, 0.018, 0.028, 0.03, 0.0, 0.0, 0.04, 0.008, 0.0, 0.02, 0.002, 0.0, 0.002, 0.006, 0.0, 0.018, 0.022, 0.004, 0.002, 0.02, 0.004, 0.002, 0.006, 0.018, 0.002, 0.0, 0.0, 0.008, 0.002, 0.0, 0.004, 0.004, 0.0, 0.006, 0.0, 0.0, 0.0, 0.002, 0.0, 0.002, 0.0, 0.0, 0.0]"
0,12,"[0.132, 0.02, 0.034, 0.056, 0.012, 0.128, 0.04, 0.068, 0.014, 0.0, 0.008, 0.006, 0.008, 0.018, 0.006, 0.004, 0.006, 0.004, 0.02, 0.016, 0.012, 0.0, 0.0, 0.02, 0.002, 0.0, 0.108, 0.004, 0.0, 0.02, 0.012, 0.0, 0.01, 0.05, 0.002, 0.0, 0.014, 0.008, 0.008, 0.006, 0.046, 0.032, 0.0, 0.0, 0.002, 0.0, 0.002, 0.002, 0.002, 0.006, 0.022, 0.0, 0.002, 0.002, 0.002, 0.0, 0.004, 0.0, 0.0, 0.0]"
0,18,"[0.512, 0.024, 0.004, 0.03, 0.008, 0.002, 0.002, 0.01, 0.004, 0.002, 0.004, 0.01, 0.016, 0.008, 0.064, 0.002, 0.006, 0.008, 0.002, 0.018, 0.028, 0.002, 0.01, 0.034, 0.0, 0.004, 0.004, 0.008, 0.002, 0.002, 0.0, 0.006, 0.002, 0.002, 0.002, 0.002, 0.026, 0.01, 0.01, 0.014, 0.002, 0.002, 0.002, 0.006, 0.002, 0.002, 0.0, 0.0, 0.01, 0.004, 0.002, 0.024, 0.006, 0.0, 0.008, 0.002, 0.02, 0.002, 0.002, 0.0]"
