threshold,far,frr,acc,tpr,tnr,ppv,npv,f1_score
0.01,0.31881592378359985,0.0009800718719372753,0.8433333333333334,0.9990199281280627,0.6811840762164001,0.7654568210262829,0.9985037406483791,0.866780045351474
0.02,0.1510717931269139,0.0029402156158118264,0.9245,0.9970597843841882,0.8489282068730861,0.8729977116704806,0.9964057507987221,0.9309135275278329
0.03,0.08336168764886015,0.00555374060764456,0.9563333333333334,0.9944462593923554,0.9166383123511398,0.9255092733353603,0.9937292511988196,0.958740157480315
0.04,0.04763525008506295,0.008820646847435479,0.9721666666666666,0.9911793531525646,0.952364749914937,0.9558916194076874,0.9904458598726115,0.9732157177225341
0.05,0.028921401837359646,0.013394315583142764,0.979,0.9866056844168573,0.9710785981626403,0.9726247987117552,0.9858376511226252,0.9795653584171262
0.06,0.020074855392990813,0.01796798431885005,0.981,0.98203201568115,0.9799251446070092,0.9807504078303426,0.9812606473594548,0.9813907933398629
0.07,0.013269819666553249,0.026135249918327344,0.9801666666666666,0.9738647500816726,0.9867301803334467,0.9870860927152317,0.9731543624161074,0.9804308501891137
0.08,0.008846546444368834,0.03038222803005554,0.9801666666666666,0.9696177719699445,0.9911534535556311,0.991315965263861,0.969061876247505,0.9803468208092486
0.09,0.005784280367471929,0.0359359686377001,0.9788333333333333,0.9640640313622999,0.9942157196325281,0.9942722371967655,0.9637203166226913,0.9789351467905125
0.1,0.004423273222184417,0.04475661548513558,0.975,0.9552433845148645,0.9955767267778156,0.9955737146748382,0.9552726085537055,0.9749916638879627
0.11,0.00374276964954066,0.053250571708591966,0.971,0.9467494282914081,0.9962572303504593,0.9962186318322448,0.9472662568747978,0.970854271356784
0.12,0.003402517863218782,0.06272459980398562,0.9663333333333334,0.9372754001960144,0.9965974821367812,0.9965265717262939,0.9384812560076898,0.9659932659932661
0.13,0.002041510717931269,0.07317869977131657,0.9616666666666667,0.9268213002286835,0.9979584892820688,0.9978895532887795,0.9290465631929047,0.9610433604336043
0.14,0.0013610071452875127,0.08820646847435479,0.9543333333333334,0.9117935315256452,0.9986389928547125,0.9985688729874777,0.9157566302652106,0.9532103825136612
0.15,0.0010207553589656345,0.09866056844168572,0.9491666666666667,0.9013394315583143,0.9989792446410344,0.998913830557567,0.9067325509573811,0.9476215009445305
0.16,0.0006805035726437564,0.11009474028095394,0.9435,0.8899052597190461,0.9993194964273563,0.9992663242846662,0.8970678069639585,0.9414204250907207
0.17,0.0006805035726437564,0.12120222149624306,0.9378333333333333,0.878797778503757,0.9993194964273563,0.9992570579494799,0.8878476420798065,0.9351642621241091
0.18,0.0006805035726437564,0.1313296308395949,0.9326666666666666,0.8686703691604051,0.9993194964273563,0.9992484028560692,0.8796046720575023,0.929395316322964
0.19,0.0006805035726437564,0.14537732767069586,0.9255,0.8546226723293041,0.9993194964273563,0.9992360580595875,0.868421052631579,0.9212889593238246
0.2,0.0006805035726437564,0.15746488075792225,0.9193333333333333,0.8425351192420778,0.9993194964273563,0.9992251065478497,0.8590231061713951,0.9142148174406238
0.24,0.0003402517863218782,0.21202221496243057,0.8916666666666667,0.7879777850375694,0.9996597482136781,0.9995855781185247,0.8190688597713968,0.8812568505663135
0.33,0.0,0.3707938582162692,0.8108333333333333,0.6292061417837308,1.0,1.0,0.7214040255277369,0.7724082614798475
0.32,0.0,0.35543939888925186,0.8186666666666667,0.6445606011107481,1.0,1.0,0.7298236900918799,0.7838696861342869
0.23,0.0006805035726437564,0.1996079712512251,0.8978333333333334,0.8003920287487749,0.9993194964273563,0.9991843393148451,0.8277903043968433,0.8888082713586068
0.43,0.0,0.5442665795491669,0.7223333333333334,0.45573342045083304,1.0,1.0,0.6382193268186753,0.6261220825852782
0.29,0.0,0.29630839594903624,0.8488333333333333,0.7036916040509638,1.0,1.0,0.7641705668226729,0.8260786193672099
0.39,0.0,0.4782750735053904,0.756,0.5217249264946096,1.0,1.0,0.6674994322053146,0.6857020180334907
0.22,0.0006805035726437564,0.1875204181639987,0.904,0.8124795818360013,0.9993194964273563,0.9991964644435516,0.8365138137282826,0.8962162162162162
0.27,0.0,0.2574322116955243,0.8686666666666667,0.7425677883044757,1.0,1.0,0.788569895358197,0.8522684664416948
0.25,0.0003402517863218782,0.22933681803332245,0.8828333333333334,0.7706631819666776,0.9996597482136781,0.9995762711864407,0.8071428571428572,0.8703191293119351
0.28,0.0,0.27703364913426987,0.8586666666666667,0.7229663508657301,1.0,1.0,0.7760760496435173,0.8392112248767538
0.26,0.0003402517863218782,0.24371120548840247,0.8755,0.7562887945115975,0.9996597482136781,0.9995682210708118,0.7975027144408252,0.8610749488562394
0.31,0.0,0.33420450833061094,0.8295,0.6657954916693891,1.0,1.0,0.7417970721857647,0.7993724259658757
0.49,0.0,0.6458673636066645,0.6705,0.35413263639333553,1.0,1.0,0.5978437754271766,0.5230398069963812
0.34,0.0,0.387781770663182,0.8021666666666667,0.612218229336818,1.0,1.0,0.7123121667474551,0.7594731509625127
0.4,0.0,0.4968964390721986,0.7465,0.5031035609278014,1.0,1.0,0.6589686098654709,0.669419691371441
